brandName,name,price,item_url,category
허로우,무향 비건 립밤,"7,900",https://www.29cm.co.kr/product/308254,뷰티
바루랩,더 클린 비건 마스크팩 피부진정 시카,"2,000",https://www.29cm.co.kr/product/1015662,뷰티
톤28,얼굴 씻을거리 S16 동백+자몽오일 (메이크업 클렌징),"11,000",https://www.29cm.co.kr/product/277874,뷰티
브이티코스메틱,VT 시카 싱글 오리진 에센스 100(비건 인증),"12,000",https://www.29cm.co.kr/product/1013187,뷰티
지엔디알,비건 오렌지 세트,"25,500",https://www.29cm.co.kr/product/1090797,뷰티
르까레,올데이 비건 립밤 4g,"16,000",https://www.29cm.co.kr/product/1363572,뷰티
닥토브,닥토브 비니페라 바이옴 비건 마스크팩,"40,000",https://www.29cm.co.kr/product/1344832,뷰티
이든 미네랄,비건 퍼펙트 아이브로우 젤,"34,000",https://www.29cm.co.kr/product/1228368,뷰티
이든 미네랄,비건 크림 립스틱 프리다,"36,000",https://www.29cm.co.kr/product/1228354,뷰티
이든 미네랄,비건 크림 립스틱 필리파,"36,000",https://www.29cm.co.kr/product/1228353,뷰티
이든 미네랄,비건 오일 세럼,"62,000",https://www.29cm.co.kr/product/1312053,뷰티
캐트리스,더 컬렉션 아이섀도 팔레트,"12,000",https://www.29cm.co.kr/product/405449,뷰티
바루랩,바루랩 더 클린 비건 마스크팩 피지케어 티트리,"2,000",https://www.29cm.co.kr/product/1015665,뷰티
허로우,커피빈 비건 립밤,"7,900",https://www.29cm.co.kr/product/308201,뷰티
허로우,코코넛 비건 립밤,"7,900",https://www.29cm.co.kr/product/308181,뷰티
톤28,솔루션즈 Y 5ml,"24,000",https://www.29cm.co.kr/product/1080092,뷰티
바루랩,바루랩 더 클린 비건 마스크팩 각질정돈 아하바하,"2,000",https://www.29cm.co.kr/product/1015660,뷰티
오그너스,101 비건 브러시 8종 세트,"140,000",https://www.29cm.co.kr/product/1105990,뷰티
닥토브,닥토브 비니페라 바이옴 비건 핸드크림,"18,400",https://www.29cm.co.kr/product/1344834,뷰티
토레야,[3종 SET] 비건 핸드크림 트리오,"36,000",https://www.29cm.co.kr/product/929884,뷰티
허블룸,데일리 톤업 비건 선스크린,"28,000",https://www.29cm.co.kr/product/1174195,뷰티
닥토브,닥토브 비니페라 바이옴 비건 선크림,"38,500",https://www.29cm.co.kr/product/1344833,뷰티
베리썸,리얼미 비건 브로우 카라,"14,000",https://www.29cm.co.kr/product/1319608,뷰티
언리시아,글레시어 비건 립밤,"15,000",https://www.29cm.co.kr/product/1366443,뷰티
허로우,"피타 비건 립밤 (코코넛, 민트, 레몬그라스)","7,900",https://www.29cm.co.kr/product/308248,뷰티
허로우,파파야 파인애플 비건 립밤,"7,900",https://www.29cm.co.kr/product/308246,뷰티
허로우,레몬 비건 립밤,"7,900",https://www.29cm.co.kr/product/308234,뷰티
허로우,라임 비건 립밤,"7,900",https://www.29cm.co.kr/product/308231,뷰티
허로우,라즈베리 틴트 비건 립밤,"7,900",https://www.29cm.co.kr/product/308220,뷰티
바루랩,바루랩 더 클린 비건 마스크팩 수분진정 알로에,"2,000",https://www.29cm.co.kr/product/1015719,뷰티
바루랩,바루랩 더 클린 비건 마스크팩 수분영양 올리브,"2,000",https://www.29cm.co.kr/product/1015718,뷰티
이든 미네랄,비건 크림 립스틱 잉그리드 마리,"36,000",https://www.29cm.co.kr/product/1228350,뷰티
허로우,민트 비건 립밤,"7,900",https://www.29cm.co.kr/product/308238,뷰티
이든 미네랄,비건 아이섀도우 팔레트,"42,000",https://www.29cm.co.kr/product/1145058,뷰티
허로우,오렌지 비건 립밤,"7,900",https://www.29cm.co.kr/product/308244,뷰티
허로우,자몽 비건 립밤,"7,900",https://www.29cm.co.kr/product/308224,뷰티
허로우,얼그레이 비건 립밤,"7,900",https://www.29cm.co.kr/product/308207,뷰티
바루랩,바루랩 더 클린 비건 마스크팩 영양보습 시어버터,"2,000",https://www.29cm.co.kr/product/1015720,뷰티
바루랩,바루랩 더 클린 비건 마스크팩 보습 진정 그린티,"2,000",https://www.29cm.co.kr/product/1015716,뷰티
바루랩,바루랩 더 클린 비건 마스크팩 피부톤업 비타민C,"2,000",https://www.29cm.co.kr/product/1015664,뷰티
쏘내추럴,쏘 비건 노니 앰플 바디 오일,"25,000",https://www.29cm.co.kr/product/1210656,뷰티
피부피부,[비건인증] 딥 슬립 테라퓨틱 배스솔트 50g,"9,500",https://www.29cm.co.kr/product/1339930,뷰티
에이올,제주 화산송이 천연 두피 비건 샴푸 650ml + 용암해수 비건 헤어 트리트먼트 650ml,"64,000",https://www.29cm.co.kr/product/789828,뷰티
보쉐,비건 촉촉 핸드케어 세트,"37,000",https://www.29cm.co.kr/product/951570,뷰티
에리제론,올인원 비건 샴푸볼 -스노우오트밀 (건성용),"21,350",https://www.29cm.co.kr/product/1134383,뷰티
에리제론,"올인원 비건 샴푸볼 - 블랙차콜 (지성용, 트러블케어)","21,350",https://www.29cm.co.kr/product/1134264,뷰티
에이올,제주 화산송이 천연 두피 비건 샴푸 650ml 2개 + 용암해수 비건 헤어 트리트먼트 650ml 1개,"96,000",https://www.29cm.co.kr/product/789823,뷰티
에이올,제주 화산송이 천연 두피 비건 샴푸 650ml 1개 + 용암해수 비건 헤어 트리트먼트 650ml 2개,"96,000",https://www.29cm.co.kr/product/789824,뷰티
에리제론,"올인원 비건 뷰티볼 - 햄프씨드 (모든피부적합,보습)","22,000",https://www.29cm.co.kr/product/1134389,뷰티
에리제론,"올인원 비건 샴푸바 - 핑크클레이(지복합성용, 민감두피)","21,350",https://www.29cm.co.kr/product/1134296,뷰티
에이올,제주 화산송이 천연 두피 비건 샴푸 650ml,"32,000",https://www.29cm.co.kr/product/786895,뷰티
아로마티카,컨셔스 비건 립 컬러 립밤 (3종 택1),"20,000",https://www.29cm.co.kr/product/1075903,뷰티
쏘내추럴,쏘 비건 진저 클레이 마스크,"28,000",https://www.29cm.co.kr/product/1095495,뷰티
튠나인,[탈모케어]_젠틀무드 비건 탈모완화 샴푸 100ml,"15,000",https://www.29cm.co.kr/product/1164655,뷰티
이든 미네랄,비건 크림 립스틱 3종 택1,"36,000",https://www.29cm.co.kr/product/1228349,뷰티
베이지크,모먼츠 에코백,"19,000",https://www.29cm.co.kr/product/1124475,뷰티
에리제론,올인원 비건 샴푸볼 - 어성초그린 (두피케어),"21,350",https://www.29cm.co.kr/product/1134262,뷰티
에이올,제주 화산송이 천연 두피 비건 샴푸 650ml 3개,"96,000",https://www.29cm.co.kr/product/789813,뷰티
이든 미네랄,비건 프레스드 파우더 팩트,"46,000",https://www.29cm.co.kr/product/1249528,뷰티
